NOM ETABLISSEMENT,ADRESSE,VILLE,TEL,EMAIL,CYCLE,REGION,PROVINCE,COMMUNE
ALLAYMOUNE,RUE DESCART HAY ALLAYMOUNE RIYAD AGDAL,Rabat,0660958589,l.allaymoune@gmail.com,BTS,Rabat - Sale - Zemmour -Zaer,Rabat,Agdal Riyad (AR)
LYCEE TECHNIQUE alfarabi,HAY AL MKINSSIA  COMMUNE BAB LAMRISSA,SALE MEDINA,0660958385,abdelaziz_ph@hotmail.com,BTS,Rabat - Sale - Zemmour -Zaer,Salé,Bab Lamrissa (AR)
AL KHANSA,15 RUE RIAD  COMMUNE SIDI BELYOUT,CASABLANCA,0522-22-33-07,lycekhansa@yahoo.fr,BTS,Grand Casablanca,Casablanca Anfa,Sidi Belyout (AR)
AL KHAOUARIZMI,BD LA GIRONDE,Al Fida Derb Sultan,022808332,,BTS,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
LYCEE TECHNIQUE,AZZOHOUR 2 ROUTE SEFROU ,FES,0660146447,lycee _technique_fes@yahoo.frbtsdsi,BTS,Fès - Boulmane,Fès,Saiss (AR)
HASSAN II,RUE ELKADI AYAD,Marrakech,0524-43-07-92,lyceeh2@hotmail.com,BTS,Marrakech - Tensift - Al Haouz,Marrakech,Marrakech  (M)
MOHAMMED VI,AZLI,Marrakech,0524496272,,BTS,Marrakech - Tensift - Al Haouz,Marrakech,Marrakech  (M)
MOULAY ISMAIL,rue wahhabi ali ben jilali vn meknes,MEKNES,0535520217,lqm_ismail@yahoo.fr,BTS,Meknès - Tafilalet,Meknes,Al Ismailia (M)
L MEHDI BEN BARKA,RUE  ICHBILYA,OUJDA,0618535187,MEHDIBENBERKA@GMAIL.COM,BTS,l'Oriental,Oujda Angad,Oujda (M)
L EL MAGHRIB EL ARABI,BD HASSAN 2,OUJDA,0618535188,maghrib@yahoo.fr,BTS,l'Oriental,Oujda Angad,Oujda (M)
IMAM AL GHAZALI,RUE TAHRANE  BP 5184  Qrt Mly ELHASSAN,Tetouan,039-97-17-24,limamghazali@yahoo.fr,BTS,Tanger - Tetouan,Tetouan,Tetouan (M)
Lycée Qualifiant Lissane Eddine Ibn Al Khatib,PLACE OUM SAADAVENUE HASSAN 1IER,Laayoune,028-89-23-38,,BTS,Laayoune-Boujdour-Sakia Al Hamra,Laayoune,Laayoune (M)
AL BADISSI (LYCEE),AVENUE ANOUAL AL HOCEIMA,MUNICIPALITE AL HOCEIMA,0539-98-22-47,,BTS,Taza - Al Hoceima - Taounate,Al Houceima,Al Hoceima
LYCEE MOHAMED V,BOULEVARD 20 AOUT QUARTIER ATLAS,BENI MELLAL,0523-48-32-43,bmmed5@menara.ma,BTS,Tadla - Azilal,Beni Mellal,Beni Mellal (M)
LYCEE TECHNIQUE RAZI,KOUDAITE BEN IDRISS MUNICIPALITE D EL JADIDA,El Jadida,0523-34-32-87,errazzi@menara,BTS,Doukala - Abda,El Jadida,El Jadida (M)
TECHNIQUE,CITE boutalamine ERRACHIDIA,Errachidia,0535571968,ltech.erra@gmail.com,BTS,Meknès - Tafilalet,Errachidia,Errachidia (M)
MOHAMED V,BOULEVARD ELFATH ESSAOUIRA,Essaouira,0661-068-301,,BTS,Marrakech - Tensift - Al Haouz,Essaouira,Essabouira (M)
LYCEE TECHNIQUE IBN SINA,RUE CHAKIB ARSSALANE KENITRA,Kenitra,0537-37-44-91,lycéeibnsina@menara.ma,BTS,Gharb - Chrarda - Beni Hssen,Kenitra,Kenitra (M)
LYCEE TECHNIQUE IBN AL HAITAM,OUARZAZATE CENTRE,OUARZAZATE,0524-88-63-91,SAID6319@HOTMAIL.FR,BTS,Sous-Massa-Draa,Ouarzazate,Ouarzazate (M)
AL KHAOUARIZMI,ROUTE DAR SI AISSA COMMUNE ASFI,Safi,0661230689,AB.jaghlal@gmail.com,BTS,Doukala - Abda,Safi,Asfi (M)
lycee TECHNIQUE,HAY EL AMAL COMMUNE SETTAT,Settat,0523722471,ltssettat@yahoo.fr,BTS,Chaouia - Ourdigha,Settat,Settat (M)
PRINCE MOULAY ABDELLAH,ROUTE DE MEKNES  COMMUNE SIDI KACEM,Sidi Kacem,0537-59-25-19,lyce_techn.my.abdellah@menara.ma,BTS,Gharb - Chrarda - Beni Hssen,Sidi Kacem,Sidi kacem (M)
MOULAY YOUSSEF,AVENUE IBN TAYMIA COMMUNE TANGER,TANGER,0539941572,tanger.ltmy@yahoo.fr,BTS,Tanger - Tetouan,Tanger Assilah,Tanger_Medina (AR)
TECHNIQUE,ROUTE AL HOCEIMA TAZA AL JADIDA,TAZA AL JADIDA,035-21-12-82,loudari1965@yahoo.fr,BTS,Taza - Al Hoceima - Taounate,Taza,Taza (M)
LYCEE QUALIFIANT AL MASSIRA AL KHADRA,BD MOKHTAR ESSOUSSI TIZNIT,Tiznit,0528862539,Indmeskine.mohamed@taalim.ma,BTS,Sous-Massa-Draa,Tiznit,Tiznit (M)
LYCEE d excellence qualifiant,HAY AMHAIRICH,GUELMIM,0661461763,guel_lyctech@yahoo.fr,BTS,Guelmim - Es-smara,Guelmim,Guelmim (M)
Lycée referentiel lalla khadija,hay wakala,dakhla,0528930463,lycamiraref@gmail.com,BTS,Oued Ed-dhab - Lagouira,Oued Ed-dahab,Dakhla (M)
lycée qualifiant IBN SINA,Lotissement El Wahda Taounate Soufla,Taounate,0660126282,ibn_sinae@hotmail.fr,BTS,Taza - Al Hoceima - Taounate,Taounate,Taounate (M)
LYCEE TECHNIQUE AL KHAOUARIZMI,AV MOHAMED ABDOU CHEFCHAOUEN,CHEFCHAOUEN,0655790852,lyceechef@hotmail.com,BTS,Tanger - Tetouan,Chefchaouen,Chefchaouen (M)
Lycée technique Chichaoua,Hay Annahda Municipalité de Chichaoua,Chichaoua,,,BTS,Marrakech - Tensift - Al Haouz,Chichaoua,Chichaoua (M)
