NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
ALLAYMOUNE, ا لليمون,7 AV PASTEUR HAY  ALLAYMOUNE RABAT AGDAL,رقم 7  شارع باستور حي الليمون الرباط اكدال   ,0660480671,Rabat,Rabat - Salé - Zemmour - Zaer
EL AHBASSE,الأحباس المختلطة,RUE EL KINDI HAY AL AHBASS AVENUE HASSAN 2,زنقة الكندي شارع الحسن الثاني حي الأحباس,0679798598,Rabat,Rabat - Salé - Zemmour - Zaer
ELMANDARE ALJAMILE,المنظر الجميل,RUE INTSRABI AGDAL RABAT,زنقة انتسرابي أكدال الرباط,0679798614,Rabat,Rabat - Salé - Zemmour - Zaer
OTMANE BNO AFFANE,عثمان بن عفان,SECTEUR 21 RUE AL YANBOUT READ AGDAL,قطاع 21 زنقة الينبوت حي الرياض الرباط,0679798601,Rabat,Rabat - Salé - Zemmour - Zaer
ZIRARA,زرارة,HAY EL GUICHE LAODAYA READ AGDAL,كيش الوداية,060-19-12-54,Skhirate Temara,Rabat - Salé - Zemmour - Zaer
KHALID BNO EL WALIDE,خالد بن الوليد,SECTEUR 6 RUE ARACHISE HAY RIAD READ AGDAL,مدرسة خالد بن الوليد سكتور 6 حي الرياض الرباط,0660191255,Rabat,Rabat - Salé - Zemmour - Zaer
ZOUBIR BNO AL AWAM,الزبير بن العوام,SECTEUR 16 HAY RIAD  RABAT,قطاع16 شارع محمد اليزيدي حي الرياض,0660191256,Rabat,Rabat - Salé - Zemmour - Zaer
ALAZHAR,الأزهر,RUE SAFROU  HASSAN,زنقة صفرو حسان,0679798596,Rabat,Rabat - Salé - Zemmour - Zaer
ABDELMOUMENE,عبدالمومن,RUE LAKSSIBA HASSAN,زنقة القصيبة حسان,0679798591,Rabat,Rabat - Salé - Zemmour - Zaer
ATTAWHID,التوحيد,98 RUE OUKASSA BAB EL MALLAH HASSAN,98 زنقة وقاصة الملاح,0679798594,Rabat,Rabat - Salé - Zemmour - Zaer
EL MOUHAMMADIA,المحمدية,RUE ESSUIKA HASSAN,,,Rabat,Rabat - Salé - Zemmour - Zaer
SIDI AKKARI,سيدي العكاري,RUE SIDI AKKARI MEDINA KADDIMA,زنقة سيدي العكاري المدينة العتيقة,,Rabat,Rabat - Salé - Zemmour - Zaer
MOULAY RACHID,مولاي رشيد,AV SIDI FATEH Rue  taht el hammam  Rabat,زنقة تحت   الحمام  سيدي فاتح    ,0679798599,Rabat,Rabat - Salé - Zemmour - Zaer
LOUDAYA,الاوداية,CHARIA BAB LAALOU LOUDAYA HASSAN,شارع لعلو الاوداية الرباط,0679798592,Rabat,Rabat - Salé - Zemmour - Zaer
HASSANE BNO TABIT,حسان بن ثابت,avenue medv rue 26 Legza,شارع محمد الخامس، زنقة 26 الجزاء,0660191267,Rabat,Rabat - Salé - Zemmour - Zaer
AHMED CHERKAOUI,أحمد الشرقاوي,AV LA RISISTANCE ELMOHITE HASSAN,شارع المقاومة حي المحيط حسان,0679798593,Rabat,Rabat - Salé - Zemmour - Zaer
SAHATE CHOUHADA,ساحة الشهداء,AV ABDELKRIM KHATABI LOCEON HASSAN,شارع عبد الكريم الخطابي  المحيط حسان,0660480442,Rabat,Rabat - Salé - Zemmour - Zaer
HADJ KADDOUR KRIEM,الحاج قدور كريم,15 RUE DAKAR AV GRAND MAGREB HASSAN,15زنقة دكار شارع المغرب الكبير حسان,0660479516,Rabat,Rabat - Salé - Zemmour - Zaer
AL HADAIK,الحدائق ,2 RUE BRASIL DIOUR DJAMAA  HASSAN,2 زنقة البرازيل ديور الجامع حسان,0679798595,Rabat,Rabat - Salé - Zemmour - Zaer
EL KHANSAE,الخنساء,RUE LIRAK DIOUR DJAMAA HASSAN,,,Rabat,Rabat - Salé - Zemmour - Zaer
ELCADI AYYAD,القاضي عياض,RUE TONCAN AV HASSAN 2 HASSAN,زنقة طنكان شارع الحسن الثاني حسان,0679798597,Rabat,Rabat - Salé - Zemmour - Zaer
ALLAL BEN ABDELLAH,علال بن عبد الله,AV ZARKTOUNI EL AKARI HASSANE,شارع محمد الزرقطوني القبيبات العكاري,0679798602,Rabat,Rabat - Salé - Zemmour - Zaer
BAB TAMESNA,باب تامسنا,RUE IBN AICHA EL AKKARI HASSANE,  زنقة بن عائشة ساحة تامسنا العكاري,0679798611,Rabat,Rabat - Salé - Zemmour - Zaer
ANNASR,النصر,RUE IBN AICHA BAB TAMESNA HASSANE,زنقة ابن عائشة ساحة باب تامسنا,0679798612,Rabat,Rabat - Salé - Zemmour - Zaer
DRISS BAHRAOUI,إدريس البحراوي,RUE BEN OTMANE MEKNASSI  AKKARI,زنقة بن عثمان المكناسي العكاري,0660191268,Rabat,Rabat - Salé - Zemmour - Zaer
ZINEB NAFZAOUIA,زينب النفزاوية,RUE CAPITIN OUARAB ELAKARI HASSANE,زنقة كابتن واعراب  العكاري,0660191269,Rabat,Rabat - Salé - Zemmour - Zaer
MASIRA LKHADRA AKKARI,المسيرة الخضراء العكاري,AV SIDI MED BENABDELLAH AKKARI HASSANE,شارع سيدي محمد بنعبد الله العكاري- حسان,0660480261,Rabat,Rabat - Salé - Zemmour - Zaer
allal karrakchou,علال كراكشو,AV PRINCE SIDI MOHAMMED,شارع الأمير سيدي محمد,0660191270,Rabat,Rabat - Salé - Zemmour - Zaer
DAR ASSALAM ALHASSANIA,دار السلام الحسنية,AV  MOHAMMED VI KM 75 SOUISSI,"شارع  محمد السادس  كلم 7,5 السويسي",0679798583,Rabat,Rabat - Salé - Zemmour - Zaer
ABDERRAHMAN BNO AOUF,عبد الرحمان بن عوف,ROUTE AYNE KHALUYA DAR ESSALAME YOUSSOUFIA,طريق عين خلوية دار السلام اليوسفية,0660191271,Rabat,Rabat - Salé - Zemmour - Zaer
MOHAMED BELHASSAN ELOUAZZANI,محمد بلحسن الوزاني,HAY NAHDA 1 COMPLEMENTAIRE,حي النهضة 1 إضافي,0660191258,Rabat,Rabat - Salé - Zemmour - Zaer
SIX NOVEMBRE,السادس نونبر,HAY NAHDA YOUssouFIA,حي النهضة اليوسفية,0660191259,Rabat,Rabat - Salé - Zemmour - Zaer
ALLAMA ABDELLAH ALJIRARI,العلامة عبد الله الجراري,HAY NAHDA YOUSSOUFIA,حي النهضة  اليوسفية,0660191260,Rabat,Rabat - Salé - Zemmour - Zaer
AHMED EL KACIMI,أحمد القاسمي,TAKADOUME  YOUSSOUFIA,التقدم اليوسفية,0679798590,Rabat,Rabat - Salé - Zemmour - Zaer
abdelhadi boutaleb,عبد الهادي بوطالب,AV HOUMANE ELFATOIKI BLOC8 TAKADOUME YOUSSOUFIA,شارع حمان الفطواكي  بلوك 8 التقدم اليوسفية,0679798589,Rabat,Rabat - Salé - Zemmour - Zaer
EL MASSIRA,المسيرة,DOUAR EHAJA HAY ELFARAH TAKADOUME YOUSSOUFIA,حي الفرح، التقدم، جماعة اليوسفية,0679798619,Rabat,Rabat - Salé - Zemmour - Zaer
LHASSAN ELYOUSSI,الحسن اليوسي,QUARTIER INDUSTRIEL OILJA YOUSSOUFIA,الحي الصناعي الولجة اليوسفية,0660480138,Rabat,Rabat - Salé - Zemmour - Zaer
IDRISS AL AWWAL,إدريس الأول,HAY  LINBIAAT  YOUSSOUFIA,حي الإنبعاث اليوسفية ,0679798617,Rabat,Rabat - Salé - Zemmour - Zaer
AHMED RACHIDI,احمد الراشدي,HAY AL INBIAAT YOUSSOUFIA,حي الإنبعاث اليوسفية,0660480292,Rabat,Rabat - Salé - Zemmour - Zaer
ELFARABI,الفارابي,hay abi regrague el youssoufia,حي اأبي رقراق اليوسفية,0679798616,Rabat,Rabat - Salé - Zemmour - Zaer
alalama   MOHAMMED BEN SLIMANE JAZOULI,ا لعلامة محمد بن سليمان الجزولي,CHARIE OULED SBAA RUE 82 HAY bouregreg,شارع اولاد السبع زنقة 82 حى أبي رقراق,0660191261,Rabat,Rabat - Salé - Zemmour - Zaer
DRISS BAHRAOUI YOUSSOUFIA,إدريس البحراوي اليوسفية,HAY EL YOUSSOUFIA YOUSSOUFIA,حي اليوسفية اليوسفية,0679798618,Rabat,Rabat - Salé - Zemmour - Zaer
ALINBIAAT,الانبعاث,CITE EL YOUSSOUFIA   OUEST,حي اليوسفية الغربية,0679798620,Rabat,Rabat - Salé - Zemmour - Zaer
IMAM MALIK,الإمام مالك,AV HOUMANE EL FATOIKI  YOUSSOUFIA,شارع حمان الفطواكي اليوسفية مابيلا الرباط,0660191262,Rabat,Rabat - Salé - Zemmour - Zaer
BANI MARINE,بني مرين,HAY EL OUFIR YOUSSOUFIA,,-  -  -,Rabat,Rabat - Salé - Zemmour - Zaer
11 JANVIER,11 يناير,CHARIA TADLA MABELA YOUSOUFIA,شارع تادلة، حي الطائرات الرباط,0679798615,Rabat,Rabat - Salé - Zemmour - Zaer
ALMOURABITINE,المرابطين,RUE EZYAYDA  AVIATION  EL YOUSSOUFIA,زنقة الزيايدة / الطائرات -  مقاطعة اليوسفية,0660191263,Rabat,Rabat - Salé - Zemmour - Zaer
OMAR BEN ABDELAZIZ,عمر بن عبد العزيز,HAY EL IDARI YOUSSOUFIA, الحي الإداري اليوسفية,0679798621,Rabat,Rabat - Salé - Zemmour - Zaer
AL IMAN GHAZALI,ألإمام الغزالي,HAY NAHDA 3 YOUSSOUFIA,زنقة بني واريث حي النهضة 3 اليوسفية,0679798623,Rabat,Rabat - Salé - Zemmour - Zaer
LISSANE EDDINE BNO LKHATIB,لسان الدين بن الخطيب,HAY NAHDA 2 QUARTIER INDUSTRIEL YOUSSOUIFIA,حي النهضة 2 الحي الصناعي اليوسفية,0660191265,Rabat,Rabat - Salé - Zemmour - Zaer
ANNOUR ALMOUHAMMADI,النور  المحمدي,AV MED BENABDELLAH CYM YAACOUB ELMANSOUR,شارع سيدي محمد بن عبدالله يعقوب المنصور,0679798624,Rabat,Rabat - Salé - Zemmour - Zaer
YAACOUB ALMANSOUR,يعقوب المنصور,AV MED BEN ABDELLAH CYM YAACOUB ELMANSOUR,شارع محمد بن عبد الله،الأحباس،حي يعقوب المنصور,0679798603,Rabat,Rabat - Salé - Zemmour - Zaer
OKBA BNO NAFIEA,عقبة بن نافع,AV MED BEN ABDELLAH CYM YAACOUB ELMANSOUR,شارع سيدي محمد بنعبد الله ، يعقوب المنصور,0679798606,Rabat,Rabat - Salé - Zemmour - Zaer
ABDELMALEK SAADI,عبد المالك السعدي,RUE RAHMA 301 HAY RAJAA FI ALLA YAACOUB ELMANSOUR,زنقة الرحمة 301 حي الرجاء في الله، يعقوب المنصور,0679798604,Rabat,Rabat - Salé - Zemmour - Zaer
FATIMA AZZAHRA,فاطمة الزهراء,RUE ARRAHMA 301HAY RAJAA FIALLAH YAACOUB ELMANSOUR,زنقة الرحمة  301 حي الرجاء في الله يعقوب المنصور,0679798605,Rabat,Rabat - Salé - Zemmour - Zaer
YOUSSEF BEN TACHFINE,يوسف بن تاشفين,AV ANNOUR CITE YAACOUB ELMANSOUR,شارع النور حي يقوب المنصور,0679798608,Rabat,Rabat - Salé - Zemmour - Zaer
DAKHLA,الداخلة,boulevard sidi mohammed ben abdellah CYM,شارع سيدي محمد بن عبدالله يعقوب المنصور,0660191273,Rabat,Rabat - Salé - Zemmour - Zaer
SOUKINA BINT ELHOUSSAIN,سكينة بنت الحسين,DAOIR GARAA CYM YAACOUB ELMANSOUR,دوار الكرعة يعقوب المنصور,0679798607,Rabat,Rabat - Salé - Zemmour - Zaer
AL IMAM ALI,الإمام علي,DouaR alGARAA CYM YAACOUB ELMANSOUR,ذوار الكرعة حي يعقوب المنصور,0679798609,Rabat,Rabat - Salé - Zemmour - Zaer
ENNACHIA ALMOUHAMMADIA,الناشئة المحمدية,HAY BOUHLAL ARRONDISSEMENT 5 YAACOUB ELMANSOUR,حي بوهلال الدائرة 5 يعقوب المنصور,0679798613,Rabat,Rabat - Salé - Zemmour - Zaer
BOUHLAL,بوهلال,AV BOUHLAL YAACOUB ELMANSOUR,حي بوهلال حي يعقوب المنصور,0660191274,Rabat,Rabat - Salé - Zemmour - Zaer
ABDELLAH BNO YASSINE,عبد الله بن ياسين,BOUHLAL YAACOUB ELMANSOUR,بوهلال يعقوب المنصور,0679798622,Rabat,Rabat - Salé - Zemmour - Zaer
AHMED ELHANSALI,أحمد الحنصالي,BOUHLAL YAACOUB ELMANSOUR,بوهلال يعقوب المنصور,0679798610,Rabat,Rabat - Salé - Zemmour - Zaer
