NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
ALLAL BEN ABDELLAH,علال بن عبدالله,ZENJFOUR  FESMEDINA bp 746,الزنجفور فاس المدينة ص ب 746,0660146399,Fès,Fès - Boulmane
ABBAS BENNANI,العباس بناني, SIDI BOUJIDA  FESMEDINA,سيدي بوجيدة فاس المدينة,0660146402,Fès,Fès - Boulmane
IBN  BATTOUTA,ابن بطوطة,EL ADOUA BP1107  FAKHARINE  FESMEDINA,العدوة الفخارين فاس المدينة ص ب 1107,0660146403,Fès,Fès - Boulmane
MOHAMMED BELARBI ALAOUI,محمد بالعربي العلوي,AIN NOUKBI  JNAN ELWARDE,عين النقبي جنان الورد,0660146404,Fès,Fès - Boulmane
KACEM AMINE,قاسم أمين,DOUAR RIAFA JNANE ELWARDE FES,دوار ريافة   جنان الورد فاس ,0660145405,Fès,Fès - Boulmane
AL AMAL,الأمل,av ibn tachefine BAB AL KHOUKHA   FESMEDINA,شارع ابن تاشفين باب الخوخة فاس المدينة,0660 14 64 00,Fès,Fès - Boulmane
TOURIA SEKAT,ثريا السقاط,rue ahmed mekouar BAB EL HDID   AL BATHAE,زنقة أحمد مكوار باب الحديد البطحاء,0660146451,Fès,Fès - Boulmane
EL HAJ EL HADI TAJMOUATI,الحاج الهادي التجموعتي,KM7 ROUTE BEN SOUDA FES,كلم7 بنسودة,0535655074,Fès,Fès - Boulmane
ECHAHID ABDELALI BEN CHEKROUNE,الشهيد عبد العالي بن شقرون,DHAR LAKHMISSE LABITA  ,ظهر لخميس لبيطا,0660146412,Fès,Fès - Boulmane
LISSANE EDDINE BNOU EL KHATIB,لسان الدين بن الخطيب,HAY CHRARDA BEN DEBAB FES,حي الشراردة  بن دباب فاس  ,0660146410,Fès,Fès - Boulmane
AIN HAROUNE,عين هارون,HAY AINE HAROUNE BEN DABBABE FES,حي عين هارون بن دباب فاس,0660146413,Fès,Fès - Boulmane
SIDI JAWAD SQUALI,سيدي جواد الصقلي,HAY LAMSSALLA AINE KADOUSSE FES,حي المصلى عين قادوس,0660146414,Fès,Fès - Boulmane
HAY ESSALAME,حي السلام,HAY LAALOU AGADIR FES,حي لعلو أكادير,0660146415,Fès,Fès - Boulmane
BNOU ZAYDOUNE,ابن زيدون,DAIYA NAMOUDAJIA AINE KADDOUSSE FES,الضيعة النموذجية عين قادوس فاس,0660146416,Fès,Fès - Boulmane
ABDELLAH BNOU YASSINE,عبد الله بن ياسين,BEN SOUDA FES,بنسودة فاس,0660146421,Fès,Fès - Boulmane
AL IMAM AL BOUKHARI,الإمام البخاري,sidi hadi  ZWAGHA ROUTE BEN SOUDA FES, سيدي هادي زواغة   طريق بنسودة فاس,0660146426,Fès,Fès - Boulmane
MOULAY IDRISS PREMIER,مولاي ادريس الأول,ROUTE BEN SOUDA ZOUAGHA HAUT FES,طريق بنسودة زواغة العليا,0660146425,Fès,Fès - Boulmane
HOUMANE AL FATOUAKI,حمان الفطواكي,hay mikou ZOUAGHA BAS ALMARJA FES,حي ميكو زواغة السفلى المرجة,0660146430,Fès,Fès - Boulmane
COLLEGE AIN ALLAH,الثانوية الاعدادية عين الله,KM.10 DOUYATE ROUTE MEKNES MOULAY YACOUB,كلم 10 الضويات طريق مكناس مولاي يعقوب,035-72-62-08,Moulay Yacoub,Fès - Boulmane
COLLEGE MOHAMMED ZERKTOUNI,الثانوية الاعدادية محمد الزرقطوني,CENTRE DE LA COMMUNE DE AINE CHKAFMOULAY YACOUB,مركز جماعة عين الشقف مولاي يعقوب,0535612716,Moulay Yacoub,Fès - Boulmane
COLLEGE ALLAL BEN ABDELLAH,الثانوية الاعدادية علال بن عبد الله,KHMISSE HAMRIA COMMUNE AL OUADAYNE,خميس حمرية جماعة الوادين مولاي يعقوب,0671315629,Moulay Yacoub,Fès - Boulmane
MOULAY ALI CHERIF,مولاي علي الشريف,RUE   ABD EL OUAHAB DARRAK,زنقة عبد الوهاب الدراق,0660146470,Sefrou,Fès - Boulmane
OUED EDDAHAB,وادي الذهب,BD HASSAN 1 SETTI MASSOUDA,شارع الحسن الأول ستي مسعودة,0535-66-01-82,Sefrou,Fès - Boulmane
SIDI BOUMADIANE,سيدي بومدين,01 BD  IBNOU KHALDOUN VN,1 شارع ابن خلدون المدينة الجديدة,035-66-02-66,Sefrou,Fès - Boulmane
IBN ELYASSAMINE,ابن الياسمين,MUNICIPALITE EL MENZEL,بلدية المنزل,035-66-70-78,Sefrou,Fès - Boulmane
LALLA SOUKAINA,للا سكينة,COMMUNE AZZABA,جماعة عزابة,035-97-00-26,Sefrou,Fès - Boulmane
AIN SEBOU,عين سبو,COMMUNE OULeD MKOUDOU,جماعة اولاد مكودو,035-66-77-69,Sefrou,Fès - Boulmane
MOUSSA BNOU NOUSSAIR,موسى بن نصير, ADREJ,العدرج,0535751427,Sefrou,Fès - Boulmane
AIN CHIFA,عين الشفاء,COMMUNE AIT SBAA LAJROUF,حماعة أيت السبع لجروف,0661045344,Sefrou,Fès - Boulmane
EL MANSOUR EDDAHBI,المنصور الدهبي,JNAN EL AFIA,جنان العافية,0661914187,Marrakech,Marrakech - Tensift - Al Haouz
lycee Nakhil Collegial,ثانوية النخيل الإعدادية,AV YAAKOUB EL MANSOUR GUELIZ,شارع يعقوب المنصور جيليز,0661914409,Marrakech,Marrakech - Tensift - Al Haouz
PRINCESSE LALLA MERYEM,الأميرة للامريم,AV MOHAMED 6 GUILIZ,شارع محمد السادس جيليز,0661056086,Marrakech,Marrakech - Tensift - Al Haouz
EL MAJD,المجد,AV ABDELKARIM EL KHATTABI,شارع عبد الكريم الخطابي,0661054063,Marrakech,Marrakech - Tensift - Al Haouz
EL QODS,القدس,HAY AL INARA,حي الإنارة,0661943898,Marrakech,Marrakech - Tensift - Al Haouz
EL MOUKHTAR ESSOUSSI,المختار السوسي,AZLI,أزلي,0661914305,Marrakech,Marrakech - Tensift - Al Haouz
CHARIF EL IDRISSI,الشريف الإدريسي,AZLI sud,أزلي الجنوبي,0673080997,Marrakech,Marrakech - Tensift - Al Haouz
CHAIIR EL HAMRA,شاعر الحمراء,AV IBNO SINA,شارع ابن سيناء الداوديات,0661054062,Marrakech,Marrakech - Tensift - Al Haouz
ERRAHALI EL FAROUK,الرحالي الفاروق,RUE IBNO SINA daoudiat,شارع ابن سينا الداوديات,024-30-62-37,Marrakech,Marrakech - Tensift - Al Haouz
ECHATIBI,الشاطبي,BELBEKAR2 DAOUDIATE,بلبكار2 الداوديات,0666374336,Marrakech,Marrakech - Tensift - Al Haouz
OUED EDDAHAB,وادي الدهب,AV ALLAL EL FASSI ASSIF C , شارع علال الفاسي اسيف س,0661914383,Marrakech,Marrakech - Tensift - Al Haouz
PRINCESSE LALLA HASNA,الأميرة للاحسناء,UNITE 4 HAY MOUHAMMADI,الوحدة 4 الداوديات,0661059408,Marrakech,Marrakech - Tensift - Al Haouz
EL IMAM MALEK,الإمام مالك,ISSIL,إسيل,0661914297,Marrakech,Marrakech - Tensift - Al Haouz
TARIK IBNOU ZIYAD,طارق ابن زياد,LAMHAMID,المحاميد,0524373355,Marrakech,Marrakech - Tensift - Al Haouz
TAHA HOUSSEIN,طه حسين,MASSIRA 2,المسيرة 2,0524-34-81-14,Marrakech,Marrakech - Tensift - Al Haouz
