NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
L ABDELKARIM  AL KHATTABI,ثانوية عبد الكريم الخطابي,QUARTIER LAKHIAM       MUNICIPALITE D AGADIR,حي الخيام  بلدية أكادير,0528-22-09-24,Agadir Ida Outanane,Sous-Massa-Draa
L AL IDRISSI TECHNIQUE,   ثانوية الادريسي التقنية,QUARTIER INDUSTRIEL     MUNICIPALITE D AGADIR,الحي الصناعي  بلدية أكادير,0528-22-81-69,Agadir Ida Outanane,Sous-Massa-Draa
L YOUSSEF BNOU TACHFIN,ثانوية يوسف بن تاشفين,CITE SUISSE        MUNICIPALITE D AGADIR,الحي  السويسري  بلدية أكادير,0528-84-14-76,Agadir Ida Outanane,Sous-Massa-Draa
L RIDA SLAOUI,ثانوية رضا السلاوي,QUATIER  MOHAMMED VI     MUNICIPALITE D AGADIR,حي محمد السادس احشاش ص.ب:3149  بلدية اكادير,0661913128,Agadir Ida Outanane,Sous-Massa-Draa
L ZERKTOUNI,ثانوية الزرقطوني,BD  ABDERRAHIM BOUABID    MUNICIPALITE D AGADIR,شارع عبد الرحيم بوعبيد  بلدية اكادير,0661913130,Agadir Ida Outanane,Sous-Massa-Draa
L AL KHALIJ,ثانوية الخليــج,QUARTIER  AL MOHIT       MUNICIPALITE D AGADIR,حـي الحسنيـة  بلديــة أكاديــر,0661913121,Agadir Ida Outanane,Sous-Massa-Draa
L LALLA MERIYEM,ثانوية للا مريم,AVENUE  CHEIKH SAADI     MUNICIPALITE D AGADIR,شارع الشيخ السعدي,0661913126,Agadir Ida Outanane,Sous-Massa-Draa
L BADR,ثانوية بدر,DOUAR  AMZIL       MUNICIPALITE D AGADIR,دوار امزيل  بلدية اكادير,0661985080,Agadir Ida Outanane,Sous-Massa-Draa
L. MOHAMED DERFOUFI, ثانوية محمد  الدرفوفي,LOTISSEMENT AZZAITOUN   MUNICIPALITE DE TIKIOUINE,تجزئة الزيتون  بلدية تكوين,0661445163,Agadir Ida Outanane,Sous-Massa-Draa
L IBN MAJA,ثانوية ابن ماجة,QUARTIER DAKHLA    MUNICIPALITE D AGADIR,حي الداخلة  بلدية أكادير,0661913125,Agadir Ida Outanane,Sous-Massa-Draa
