NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
Ecole Kamil,1,"Hay Tarik Rue 55, N° 49 Sidi Bernoussi ",Casablanca,022-73-03-54,022-73-03-54,,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Annexe Ecole Kamil,0,"Hay Tarik Rue 58, N° 11 Sidi Bernoussi ",Casablanca,022-73-03-54,022-73-03-54,,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Institut Al Qods Acharif,0,"Groupe El Baida, Hay Al Qods  Sidi Bernoussi ",Casablanca,0522735060,0522730661,GS.ALQODS.ACHRIF@GMAIL.COM,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Institut Bel Khair Privé,0,"Lotissement Al Hamd Rue 3, N° 153 Q. I. Ain Sebaa ",Casablanca,022-34-47-15,___-__-__-__,,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Dar El Hikma,0,"N° 448, Groupe Zenata Al Qods  Sidi Bernoussi",Casablanca,0522736576,___-__-__-__,elhikmadar@yahoo.fr,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Ecole El Katakit,0,"N° 132,chari ImneEl Ghazali  Hay Al Qods Groupe Zenita - C.Sidi Bernoussi",Casablanca,022-73-11-04,___-__-__-__,ghita elkatakit@hotmail.com,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Institution Hannane Privée,,G 3 B EL BOUSTANE  Al Qods  Sidi Bernoussi,Casablanca,022-75-30-40,022753040,INSTHANANE@YAHOO.FR,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Ecole Randa,,"Ammal 4 Rue 23, N° 45  - Sidi Bernoussi Zenata ",Casablanca,022-75-86-14,___-__-__-__,,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Lycée Khalid Ben El Walid Privé,0,"N° 391 Mansour 1 Bd ""D""  Sidi Bernousi",Casablanca,022-73-32-46,___-__-__-__,,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Lycée Privée Charif Al Idrissi,0,"Amal 1, Rue 13 N° 42 Sidi Bernoussi",Casablanca,022-73-34-46,022768047,CHARIF IDRISSI @MENARA.MA,Grand Casablanca,Sidi Bernoussi,Sidi Bernoussi (AR)
Mohamed ZERKTOUNI,0,185  amal 1 tit mellil,tit mellil,0522331654,0522510086,,Grand Casablanca,Mediouna,Tit Mellil (M)
Ibn Sina,0,Hay Essalam Rue Safi N° 26 ,Benslimane,023-29-18-28,___-__-__-__,,Chaouia - Ourdigha,Benslimane,Ben Slimane (M)
ESSANABIL,0,Hay EL KODS N° 40 BVD BIR INZARANE ,Benslimane,023-29-00-66,___-__-__-__,,Chaouia - Ourdigha,Benslimane,Ben Slimane (M)
Imad Eddine,0,"N° 310, Lotissement Bni Yakhlef",Bni Yakhlef,0661338869,___-__-__-__,barbarita-2080@hotmail.com,Grand Casablanca,Mohammadia,Bni Yakhlef
Imam Malik,0,N° 103 Lotissement El Fath,Bni Yakhlef,0523335407,___-__-__-__,,Grand Casablanca,Mohammadia,Bni Yakhlef
Al Fourkane,0,N° 267 Lotissement Bni Yakhlef,Bni Yakhlef,0523335100,___-__-__-__,alforkane.institut@gmail.com,Grand Casablanca,Mohammadia,Bni Yakhlef
Ecole Nahda Tarbaouya,1,N° 02 Bis Hay El Makhfia,FES,0535649785,___-__-__-__,nahdatarbaouia@gawab.com,Fès - Boulmane,Fès,Fes Medina (AR)
Ecole  Princesse Lalla Aicha,0,"N° 16, Talaà Sghira",FES,0535633009,___-__-__-__,ecolelallaaicha@hotmail.fr,Fès - Boulmane,Fès,Fes Medina (AR)
Imam Malik,2,"Hay Al Qasba, Rue 12, N° 3  B.P. : 130",Laayoune,028-89-47-08,,bouifer@GMAIL.COM,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Annexe Al Imam Malik (AL Massira),2,"8, Bd. Abi Bakr Seddik Hay Al Massira",Laayoune,028-99-79-68,028-89-47-08,,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Al Ahram,,"Avenue Maghreb Arabe, Hay My. Rachid",Laayoune,048-89-06-72,___-__-__-__,,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Attoumouh,,"Villa N° 4, Rue 31, Bd. Saif Daoula,  Quartier Administratif",Laayoune,048-99-12-09,028-99-12-09,,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Redouane,0,"Hay My Racid, Avennue Mohamed Zarktouni",Laayoune,028-99-14-73,___-__-__-__,,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
complexe scolaire alamine,0,Madinat l wahda Hay Al Aaouda BP 627 ,Laayoune,028-89-10-16,028-89-36-10,complexealamine@hot.com,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
ENNAHJ EL JADID,1,166 AV. Zektouni Hay Moulay Rachid,Laayoune,028-89-14-24,028-89-17-24,ennahjjadid_1@menara.ma,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Ittihad Hay Al Mohammadi,0,Bloc Riyad Rue 29 Hay Mohammadi,Casablanca,022-62 30 11,022 62 30 11,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
El Amal,0,"N° 266, Boulevard Grande ceinture Hay Mohammadi",Casablanca,022-60-15-85,___-__-__-__,hassan0812@hotmail.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
Essadiyine,,"N° 152, Boulevard Grande Ceinture Hay Mohammadi",Casablanca,,,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
Ahmed Chawki,0,Lotissement Nadia N° 67 Grande Ceinture Hay Mohammadi,Casablanca,022-60-13-40,___-__-__-__,g.s.ahmedchaouki@gmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
Malek Bnou Anas,0,"N° 120, Boulevard Chafii Najem Derb My Chrif Hay Mohammadi",Casablanca,022-60-41-83,___-__-__-__,ets.imam_malek@menara.ma,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
