Nom Etablissement,Adresse,Ville,Téléphone,FAX,EMAIL,Nature,Cycle d'enseignement,Région,Province,Commune
ECOLE ALLAYMOUNE,7 AV PASTEUR HAY  ALLAYMOUNE RABAT AGDAL,Rabat,660480671,-  -  -,ecoleallaymoune@rocketmaiL.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
EL AHBASSE,RUE EL KINDI HAY AL AHBASS AVENUE HASSAN 2,Rabat,679798598,-  -  -,etablialahbass@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
ELMANDARE ALJAMILE,RUE INTSRABI AGDAL RABAT,Rabat,679798614,-  -  -,etab_elmandareljamil@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
OTMANE BNO AFFANE,SECTEUR 21 RUE AL YANBOUT READ AGDAL,Rabat,679798601,-  -  -,othmane-bno-affane@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
ZIRARA,HAY EL GUICHE LAODAYA READ AGDAL,TEMARA,060-19-12-54,-  -  -,ecolezirara@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Skhirate Temara,Temara (M)
KHALID BNO EL WALIDE,SECTEUR 6 RUE ARACHISE HAY RIAD READ AGDAL,Rabat,660191255,-  -  -,eco_khalidbnowalid@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
ZOUBIR BNO AL AWAM,SECTEUR 16 HAY RIAD  RABAT,Rabat,660191256,-  -  -,zoubirbenaouam@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
ALAZHAR,RUE SAFROU  HASSAN,Rabat,679798596,-  -  -,ecoleelazhar@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ABDELMOUMENE,RUE LAKSSIBA HASSAN,Rabat,679798591,-  -  -,a.rhiati@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ATTAWHID,98 RUE OUKASSA BAB EL MALLAH HASSAN,Rabat,679798594,-  -  -,ecoleattawhid@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
EL MOUHAMMADIA,RUE ESSUIKA HASSAN,Rabat,,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
SIDI AKKARI,RUE SIDI AKKARI MEDINA KADDIMA,Rabat,,-  -  -,d.sidiakkari@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
MOULAY RACHID,AV SIDI FATEH Rue  taht el hammam  Rabat,Rabat,679798599,-  -  -,ecolemoulayrachid@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
LOUDAYA,CHARIA BAB LAALOU LOUDAYA HASSAN,Rabat,679798592,-  -  -,ecole_oudaya@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
HASSANE BNO TABIT,avenue medv rue 26 Legza,Rabat,660191267,-  -  -,hassanbnotabit@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
AHMED CHERKAOUI,AV LA RISISTANCE ELMOHITE HASSAN,Rabat,679798593,-  -  -,ahmedcherkaoui@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
SAHATE CHOUHADA,AV ABDELKRIM KHATABI LOCEON HASSAN,Rabat,660480442,-  -  -,s.chouhada@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
HADJ KADDOUR KRIEM,15 RUE DAKAR AV GRAND MAGREB HASSAN,Rabat,660479516,-  -  ,AJALA_kaDDourKRIEM@YAHOO.Fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
AL HADAIK,2 RUE BRASIL DIOUR DJAMAA  HASSAN,Rabat,679798595,-  -  -,ecole_hadaik@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
EL KHANSAE,RUE LIRAK DIOUR DJAMAA HASSAN,Rabat,,-  -  -,,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ELCADI AYYAD,RUE TONCAN AV HASSAN 2 HASSAN,Rabat,679798597,-  -  -,ecole.cadi.ayad@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ALLAL BEN ABDELLAH,AV ZARKTOUNI EL AKARI HASSANE,Rabat,679798602,-  -  -,allal_benabdellah@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
BAB TAMESNA,RUE IBN AICHA EL AKKARI HASSANE,Rabat,679798611,-  -  -,ecolebabtamesna@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ANNASR,RUE IBN AICHA BAB TAMESNA HASSANE,Rabat,679798612,-  -  -,ecole.enasre@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
DRISS BAHRAOUI,RUE BEN OTMANE MEKNASSI  AKKARI,Rabat,660191268,-  -  -,drissbahraouiakkari@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ZINEB NAFZAOUIA,RUE CAPITIN OUARAB ELAKARI HASSANE,Rabat,660191269,-  -  -,ecolenafzaouia@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
MASIRA LKHADRA AKKARI,AV SIDI MED BENABDELLAH AKKARI HASSANE,Rabat,660480261,-  -  -,massiralkhadra_akkari@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
allal karrakchou,AV PRINCE SIDI MOHAMMED,Rabat,660191270,-  -  -,ibnousinaecole@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
