Ville,Nom,Adresse,Telephone,Fax,Siteweb
Casablanca,Centre Pédagogique Régional -Casablanca,Av. Stendhal Derb Ghellef - Casa-Anfa Casablanca,(+212) 05 22 25 40 37,(+212) 05 22 25 92 77,
Casablanca,École Normale Supérieur -Casablanca,"Route d'El Jadida, BP : 50069, Ghandi - Casablanca",(+212) 05 22 23 22 77,(+212) 05 22 98 53 26,
El Jadida,Centre Pédagogique Régional -El Jadida,Route de l'Aéroport BP : 291-El Jadida,(+212) 05 23 34 27 68,(+212) 05 23 35 05 20,
Fès,Centre Pédagogique Régional -Fès,"Rue de Koweit, Ville Nouvelle, BP : 49-Fès",(+212) 05 35 65 43 01,(+212) 05 35 65 48 90,
Fès,École Normale Supérieur -Fès,"Kariat Ben Souda Ahouaz, Oued Fès - Fès",(+212) 05 35 65 50 83,(+212) 05 35 65 50 69,
Kénitra,Centre Pédagogique Régional -Kénitra,"Rue Abdelaziz Boutaleb, 23 mimousa Kénitra",(+212) 05 37 37 27 79,(+212) 05 37 37 27 41,
Marrakech,Centre Pédagogique Régional -Marrakech,BP : 797 Hay Hassani Menara - Marrakech,(+212) 05 24 34 22 59,(+212) 05 24 34 22 59,
Marrakech,École Normale Supérieur -Marrakech,"Route d'Essaouira, BP 2400. Marrakech",(+212) 05 24 34 01 25,(+212) 05 24 34 22 87,
Meknès,Centre Pédagogique Régional -Meknès,"EL Menzeh, BP : 255, Bel Air - Meknès",(+212) 05 35 52 34 53,(+212) 05 35 52 34 53,
Meknès,École Normale Supérieur -Meknès,"Av. Hassan II Km 4, Route de Casa - Meknès",(+212) 05 37 69 19 68,(+212) 05 37 69 27 96,
Mohammadia,École Normale Supérieure de l'Enseignement Technique -Mohammadia,BD Hassan II BP 159 Mohammadia,(+212) 05 23 32 22 20,(+212) 05 23 32 25 46,
Oujda,Centre Pédagogique Régional -Oujda,"Hay Al Massira, Oujda",(+212) 05 36 68 35 31,(+212) 05 36 68 47 05,
Rabat,Centre de Formation des Inspecteurs de l'Enseignement,Rue Ibn Aïcha Bab Tamesna BP : 4543 -Rabat,(+212) 05 37 69 01 96,(+212) 05 37 69 05 03,
Rabat,Centre d'Orientation et de Planification Pédagogique,"Av. Allal El Fassi, Hay Riad, BP : 6222 - Rabat",(+212) 05 37 71 44 51,(+212) 05 37 71 44 50,
Rabat,Centre Pédagogique Régional -Rabat,"Avenue Allal Al Fassi, BP : 6210",(+212) 05 37 77 33 32,(+212) 05 37 77 33 28,
Rabat,École Normale Supérieur -Rabat,"Av. Mohamed Bel Hassan El Ouazzani, BP : 5118. Takaddoum - Rabat",(+212) 05 37 75 12 29,(+212) 05 37 75 00 47,
Rabat,École Normale Supérieure de l'Enseignement Technique -Rabat,"Av. Allal El Fassi Hay Riad, BP : 6207 - Rabat",(+212) 05 37 75 22 61,(+212) 05 37 75 00 47,
Safi,Centre Pédagogique Régional -Safi,"Boulevard Ibn Batouta, BP : 257 - Safi",(+212) 05 24 62 43 30,(+212) 05 24 62 43 30,
Settat,Centre Pédagogique Régional -Settat,"Hay El Farah II, BP : 578 - Settat",(+212) 05 23 72 08 93,(+212) 05 23 72 08 93,
Tanger,Centre Pédagogique Régional -Tanger,"Avenue My Abdelaziz Souani, BP : 3117 - Tanger",(+212) 05 39 94 24 81,(+212) 05 39 94 37 42,
Taza,Centre Pédagogique Régional -Taza,"Km 1 Route d'Oujda, BP : 1978 - Taza",(+212) 05 35 21 13 39,(+212) 05 35 21 13 39,
Tétouan,École Normale Supérieur -Tétouan,"Avenue Moulay Hassan, BP : 209 Martil",(+212) 05 39 97 90 48,(+212) 05 39 97 91 80,
